,Jour ,Heure  ,Extérieur,Cumul puissance,,Déperditions,30000,W,,SI(D5<$H$4;$H$8*($H$4-D5);0)
,,,T (°C),Chauffage (W),,Température intérieur de base,19,°C,,
,24,22,4.7,16500,,,,,,
,24,23,4.5,16730.76923,,,,,,
,24,24,4.4,16846.15385,,,,,,
,25,1,4.5,16730.76923,,,,,,
,25,2,4.6,16615.38462,,,,,,
,25,3,4.8,16384.61538,,,,,,
,25,4,4.9,16269.23077,,,,,,
,25,5,4.8,16384.61538,,,,,,
,25,6,5,16153.84615,,,,,,
,25,7,5.2,15923.07692,,,,,,
,25,8,5.3,15807.69231,,,,,,
,25,9,5.3,15807.69231,,,,,,
,25,10,6.1,14884.61538,,,,,,
,25,11,6.8,14076.92308,,,,,,
,25,12,7.6,13153.84615,,,,,,
,25,13,8.2,12461.53846,,,,,,
,25,14,8.5,12115.38462,,,,,,
,25,15,8.8,11769.23077,,,,,,
,25,16,8.8,11769.23077,,,,,,
,25,17,8.6,12000,,,,,,
,25,18,8.1,12576.92308,,,,,,
,25,19,7.9,12807.69231,,,,,,
,25,20,7.7,13038.46154,,,,,,
,25,21,7.5,13269.23077,,,,,,
,25,22,7.3,13500,,,,,,
,25,23,7.1,13730.76923,,,,,,
,25,24,6.9,13961.53846,,,,,,
,26,1,6.5,14423.07692,,,,,,
,26,2,6.3,14653.84615,,,,,,
,26,3,6,15000,,,,,,
,26,4,5.9,15115.38462,,,,,,
,26,5,5.9,15115.38462,,,,,,
,26,6,5.8,15230.76923,,,,,,
,26,7,5.8,15230.76923,,,,,,
,26,8,5.8,15230.76923,,,,,,
,26,9,6,15000,,,,,,
,26,10,8,12692.30769,,,,,,
,26,11,10.4,9923.076923,,,,,,
,26,12,12.4,7615.384615,,,,,,
,26,13,14.1,5653.846154,,,,,,
,26,14,14.2,5538.461538,,,,,,
,26,15,14.2,5538.461538,,,,,,
,26,16,14.2,5538.461538,,,,,,
,26,17,15.1,4500,,,,,,
,26,18,13.8,6000,,,,,,
,26,19,13.3,6576.923077,,,,,,
,26,20,12.7,7269.230769,,,,,,
,26,21,12.2,7846.153846,,,,,,
,26,22,11.6,8538.461538,,,,,,
,26,23,11.1,9115.384615,,,,,,
,26,24,10.5,9807.692308,,,,,,
,27,1,9.5,10961.53846,,,,,,
,27,2,8.5,12115.38462,,,,,,
,27,3,7.5,13269.23077,,,,,,
,27,4,6.9,13961.53846,,,,,,
,27,5,6.4,14538.46154,,,,,,
,27,6,5.9,15115.38462,,,,,,
,27,7,5.6,15461.53846,,,,,,
,27,8,5.2,15923.07692,,,,,,
,27,9,5.3,15807.69231,,,,,,
,27,10,7.2,13615.38462,,,,,,
,27,11,9.1,11423.07692,,,,,,
,27,12,10.9,9346.153846,,,,,,
,27,13,12.3,7730.769231,,,,,,
,27,14,13.4,6461.538462,,,,,,
,27,15,14,5769.230769,,,,,,
,27,16,14,5769.230769,,,,,,
,27,17,13.1,6807.692308,,,,,,
,27,18,11.7,8423.076923,,,,,,
,27,19,10.8,9461.538462,,,,,,
